in Hz,Spectrum in dBA
0.000000E+00,-4.9641E+01
1.907444E-01,-5.4621E+01
3.814888E-01,-4.4641E+01
5.722332E-01,-3.5061E+01
7.629776E-01,-3.0001E+01
9.537220E-01,-2.7341E+01
1.144466E+00,-2.6581E+01
1.335211E+00,-2.7361E+01
1.525955E+00,-2.9361E+01
1.716700E+00,-3.3341E+01
1.907444E+00,-3.9921E+01
2.098188E+00,-3.6381E+01
2.288933E+00,-3.3141E+01
2.479677E+00,-3.2061E+01
2.670422E+00,-3.1261E+01
2.861166E+00,-3.0101E+01
3.051910E+00,-2.9181E+01
3.242655E+00,-2.9061E+01
3.433399E+00,-2.8801E+01
3.624144E+00,-2.8121E+01
3.814888E+00,-2.8141E+01
4.005632E+00,-2.8641E+01
4.196377E+00,-2.8961E+01
4.387121E+00,-2.9401E+01
4.577866E+00,-3.1021E+01
4.768610E+00,-3.4381E+01
4.959354E+00,-3.7681E+01
5.150099E+00,-3.5501E+01
5.340843E+00,-3.2281E+01
5.531588E+00,-3.1981E+01
5.722332E+00,-3.4281E+01
5.913076E+00,-3.6161E+01
6.103821E+00,-3.3181E+01
6.294565E+00,-3.0301E+01
6.485310E+00,-2.9461E+01
6.676054E+00,-3.0061E+01
6.866798E+00,-3.1261E+01
7.057543E+00,-3.3301E+01
7.248287E+00,-3.6041E+01
7.439032E+00,-3.6341E+01
7.629776E+00,-3.5041E+01
7.820520E+00,-3.4901E+01
8.011265E+00,-3.7601E+01
8.202009E+00,-3.9541E+01
8.392754E+00,-3.5381E+01
8.583498E+00,-3.2021E+01
8.774242E+00,-2.7621E+01
8.964987E+00,-1.4801E+01
9.155731E+00,-1.0413E+00
9.346476E+00,7.9987E+00
9.537220E+00,1.2979E+01
9.727964E+00,1.4939E+01
9.918709E+00,1.5219E+01
1.010945E+01,1.5199E+01
1.030020E+01,1.4739E+01
1.049094E+01,1.2359E+01
1.068169E+01,6.7387E+00
1.087243E+01,-3.4813E+00
1.106318E+01,-2.1221E+01
1.125392E+01,-3.1101E+01
1.144466E+01,-2.9241E+01
1.163541E+01,-2.8961E+01
1.182615E+01,-2.9801E+01
1.201690E+01,-3.0921E+01
1.220764E+01,-3.0481E+01
1.239839E+01,-2.9181E+01
1.258913E+01,-2.7581E+01
1.277987E+01,-2.6181E+01
1.297062E+01,-2.5621E+01
1.316136E+01,-2.6361E+01
1.335211E+01,-2.8281E+01
1.354285E+01,-3.0281E+01
1.373360E+01,-3.0861E+01
1.392434E+01,-2.9541E+01
1.411509E+01,-2.7581E+01
1.430583E+01,-2.6401E+01
1.449657E+01,-2.7021E+01
1.468732E+01,-2.9761E+01
1.487806E+01,-3.3281E+01
1.506881E+01,-3.4801E+01
1.525955E+01,-3.5741E+01
1.545030E+01,-3.8541E+01
1.564104E+01,-3.9241E+01
1.583179E+01,-3.5841E+01
1.602253E+01,-3.4021E+01
1.621327E+01,-3.4661E+01
1.640402E+01,-3.6961E+01
1.659476E+01,-3.7321E+01
1.678551E+01,-3.7801E+01
1.697625E+01,-3.9001E+01
1.716700E+01,-3.6781E+01
1.735774E+01,-3.5661E+01
1.754848E+01,-3.6321E+01
1.773923E+01,-3.5581E+01
1.792997E+01,-3.3981E+01
1.812072E+01,-3.4341E+01
1.831146E+01,-3.6401E+01
1.850221E+01,-3.7101E+01
1.869295E+01,-3.2421E+01
1.888370E+01,-2.8061E+01
1.907444E+01,-2.5301E+01
1.926518E+01,-2.3501E+01
1.945593E+01,-2.2601E+01
1.964667E+01,-2.2801E+01
1.983742E+01,-2.4061E+01
2.002816E+01,-2.5981E+01
2.021891E+01,-2.7981E+01
2.040965E+01,-3.0101E+01
2.060040E+01,-3.1001E+01
2.079114E+01,-2.9801E+01
2.098188E+01,-2.9401E+01
2.117263E+01,-3.0761E+01
2.136337E+01,-3.4001E+01
2.155412E+01,-3.5061E+01
2.174486E+01,-3.1121E+01
2.193561E+01,-2.8621E+01
2.212635E+01,-2.7741E+01
2.231709E+01,-2.8021E+01
2.250784E+01,-2.8881E+01
2.269858E+01,-2.8521E+01
2.288933E+01,-2.6661E+01
2.308007E+01,-2.5261E+01
2.327082E+01,-2.4981E+01
2.346156E+01,-2.5641E+01
2.365231E+01,-2.6781E+01
2.384305E+01,-2.7801E+01
2.403379E+01,-2.7861E+01
2.422454E+01,-2.7001E+01
2.441528E+01,-2.6961E+01
2.460603E+01,-2.8921E+01
2.479677E+01,-3.2081E+01
2.498752E+01,-3.3081E+01
2.517826E+01,-3.2701E+01
2.536901E+01,-3.4681E+01
2.555975E+01,-4.2281E+01
2.575049E+01,-3.8821E+01
2.594124E+01,-3.2741E+01
2.613198E+01,-3.1761E+01
2.632273E+01,-3.5161E+01
2.651347E+01,-3.9561E+01
2.670422E+01,-3.7901E+01
2.689496E+01,-4.2721E+01
2.708570E+01,-4.4101E+01
2.727645E+01,-3.4101E+01
2.746719E+01,-3.1021E+01
2.765794E+01,-3.0221E+01
2.784868E+01,-3.0581E+01
2.803943E+01,-3.2121E+01
2.823017E+01,-3.3721E+01
2.842092E+01,-3.2901E+01
2.861166E+01,-3.1381E+01
2.880240E+01,-3.0661E+01
2.899315E+01,-2.9741E+01
2.918389E+01,-2.7161E+01
2.937464E+01,-2.4761E+01
2.956538E+01,-2.3841E+01
2.975613E+01,-2.4181E+01
2.994687E+01,-2.5101E+01
3.013762E+01,-2.6461E+01
3.032836E+01,-2.8821E+01
3.051910E+01,-3.2781E+01
3.070985E+01,-3.3001E+01
3.090059E+01,-2.9181E+01
3.109134E+01,-2.7261E+01
3.128208E+01,-2.7961E+01
3.147283E+01,-3.2221E+01
3.166357E+01,-3.5261E+01
3.185431E+01,-2.8661E+01
3.204506E+01,-2.5621E+01
3.223580E+01,-2.5141E+01
3.242655E+01,-2.6341E+01
3.261729E+01,-2.8441E+01
3.280804E+01,-2.9841E+01
3.299878E+01,-2.8681E+01
3.318953E+01,-2.6621E+01
3.338027E+01,-2.5141E+01
3.357101E+01,-2.4501E+01
3.376176E+01,-2.4761E+01
3.395250E+01,-2.5561E+01
3.414325E+01,-2.6101E+01
3.433399E+01,-2.6761E+01
3.452474E+01,-2.9101E+01
3.471548E+01,-3.3661E+01
3.490623E+01,-3.7881E+01
3.509697E+01,-3.7801E+01
3.528771E+01,-3.6781E+01
3.547846E+01,-3.7121E+01
3.566920E+01,-4.1101E+01
3.585995E+01,-5.5381E+01
3.605069E+01,-3.8381E+01
3.624144E+01,-3.3301E+01
3.643218E+01,-3.0021E+01
3.662292E+01,-2.8621E+01
3.681367E+01,-2.9601E+01
3.700441E+01,-3.3041E+01
3.719516E+01,-3.6961E+01
3.738590E+01,-3.6381E+01
3.757665E+01,-3.4861E+01
3.776739E+01,-3.2761E+01
3.795814E+01,-3.1501E+01
3.814888E+01,-3.1661E+01
3.833962E+01,-3.1761E+01
3.853037E+01,-3.0681E+01
3.872111E+01,-2.9441E+01
3.891186E+01,-2.9461E+01
3.910260E+01,-3.1561E+01
3.929335E+01,-3.7561E+01
3.948409E+01,-3.7801E+01
3.967484E+01,-3.4581E+01
3.986558E+01,-3.7061E+01
4.005632E+01,-3.9901E+01
4.024707E+01,-3.9541E+01
4.043781E+01,-3.6721E+01
4.062856E+01,-3.5921E+01
4.081930E+01,-3.6481E+01
4.101005E+01,-3.3421E+01
4.120079E+01,-3.0461E+01
4.139153E+01,-3.0401E+01
4.158228E+01,-3.3141E+01
4.177302E+01,-3.3581E+01
4.196377E+01,-2.9141E+01
4.215451E+01,-2.6561E+01
4.234526E+01,-2.5561E+01
4.253600E+01,-2.5481E+01
4.272675E+01,-2.6241E+01
4.291749E+01,-2.7401E+01
4.310823E+01,-2.7921E+01
4.329898E+01,-2.7301E+01
4.348972E+01,-2.6141E+01
4.368047E+01,-2.5381E+01
4.387121E+01,-2.5541E+01
4.406196E+01,-2.6261E+01
4.425270E+01,-2.6961E+01
4.444345E+01,-2.8061E+01
4.463419E+01,-3.0081E+01
4.482493E+01,-3.2941E+01
4.501568E+01,-3.7201E+01
4.520642E+01,-4.1101E+01
4.539717E+01,-3.5761E+01
4.558791E+01,-3.3501E+01
4.577866E+01,-3.5081E+01
4.596940E+01,-3.8641E+01
4.616014E+01,-3.8301E+01
4.635089E+01,-3.3121E+01
4.654163E+01,-2.9181E+01
4.673238E+01,-2.7401E+01
4.692312E+01,-2.7041E+01
4.711387E+01,-2.7721E+01
4.730461E+01,-2.9081E+01
4.749536E+01,-3.0621E+01
4.768610E+01,-3.2321E+01
4.787684E+01,-3.5001E+01
4.806759E+01,-3.8361E+01
4.825833E+01,-3.8541E+01
4.844908E+01,-3.3741E+01
4.863982E+01,-2.9341E+01
4.883057E+01,-2.7381E+01
4.902131E+01,-2.7981E+01
4.921206E+01,-3.1721E+01
4.940280E+01,-3.4081E+01
4.959354E+01,-3.0701E+01
4.978429E+01,-3.1521E+01
4.997503E+01,-3.8261E+01
5.016578E+01,-4.6241E+01
5.035652E+01,-3.8641E+01
5.054727E+01,-3.7381E+01
5.073801E+01,-3.9701E+01
5.092875E+01,-4.5121E+01
5.111950E+01,-3.4401E+01
5.131024E+01,-2.9601E+01
5.150099E+01,-2.8281E+01
5.169173E+01,-2.9061E+01
5.188248E+01,-3.0341E+01
5.207322E+01,-3.1041E+01
5.226397E+01,-3.0741E+01
5.245471E+01,-2.9341E+01
5.264545E+01,-2.7921E+01
5.283620E+01,-2.6961E+01
5.302694E+01,-2.6121E+01
5.321769E+01,-2.5261E+01
5.340843E+01,-2.4681E+01
5.359918E+01,-2.5021E+01
5.378992E+01,-2.6741E+01
5.398067E+01,-2.9041E+01
5.417141E+01,-3.0461E+01
5.436215E+01,-3.2121E+01
5.455290E+01,-3.4241E+01
5.474364E+01,-3.4921E+01
5.493439E+01,-3.4601E+01
5.512513E+01,-3.6201E+01
5.531588E+01,-3.9801E+01
5.550662E+01,-3.4601E+01
5.569736E+01,-3.0701E+01
5.588811E+01,-2.8761E+01
5.607885E+01,-2.7381E+01
5.626960E+01,-2.6761E+01
5.646034E+01,-2.7541E+01
5.665109E+01,-2.9701E+01
5.684183E+01,-3.0961E+01
5.703258E+01,-3.0221E+01
5.722332E+01,-2.9281E+01
5.741406E+01,-2.7901E+01
5.760481E+01,-2.6841E+01
5.779555E+01,-2.7341E+01
5.798630E+01,-2.9861E+01
5.817704E+01,-3.4661E+01
5.836779E+01,-4.2581E+01
5.855853E+01,-3.9681E+01
5.874928E+01,-3.3721E+01
5.894002E+01,-3.1421E+01
5.913076E+01,-3.1561E+01
5.932151E+01,-3.3481E+01
5.951225E+01,-3.6341E+01
5.970300E+01,-3.3361E+01
5.989374E+01,-2.8881E+01
6.008449E+01,-2.6101E+01
6.027523E+01,-2.5281E+01
6.046597E+01,-2.6841E+01
6.065672E+01,-3.0961E+01
6.084746E+01,-3.8081E+01
6.103821E+01,-4.9401E+01
6.122895E+01,-3.5621E+01
6.141970E+01,-3.1041E+01
6.161044E+01,-2.9201E+01
6.180119E+01,-2.8421E+01
6.199193E+01,-2.7881E+01
6.218267E+01,-2.7501E+01
6.237342E+01,-2.7821E+01
6.256416E+01,-2.8961E+01
6.275491E+01,-2.9681E+01
6.294565E+01,-2.8721E+01
6.313640E+01,-2.6921E+01
6.332714E+01,-2.5501E+01
6.351789E+01,-2.5301E+01
6.370863E+01,-2.6941E+01
6.389937E+01,-3.0421E+01
6.409012E+01,-3.2981E+01
6.428086E+01,-3.3481E+01
6.447161E+01,-3.4421E+01
6.466235E+01,-3.5081E+01
6.485310E+01,-3.5221E+01
6.504384E+01,-3.5501E+01
6.523458E+01,-3.5221E+01
6.542533E+01,-3.4061E+01
6.561607E+01,-3.3061E+01
6.580682E+01,-3.1561E+01
6.599756E+01,-2.8621E+01
6.618831E+01,-2.5781E+01
6.637905E+01,-2.4501E+01
6.656980E+01,-2.5101E+01
6.676054E+01,-2.7561E+01
6.695128E+01,-3.1361E+01
6.714203E+01,-3.3301E+01
6.733277E+01,-3.1581E+01
6.752352E+01,-2.9401E+01
6.771426E+01,-2.8261E+01
6.790501E+01,-2.8201E+01
6.809575E+01,-2.8981E+01
6.828650E+01,-3.1201E+01
6.847724E+01,-3.7181E+01
6.866798E+01,-4.4201E+01
6.885873E+01,-3.4741E+01
6.904947E+01,-3.3941E+01
6.924022E+01,-3.9061E+01
6.943096E+01,-5.0801E+01
6.962171E+01,-4.4461E+01
6.981245E+01,-4.3021E+01
7.000319E+01,-3.8721E+01
